Longitude,Latitude,Node Type,Population,Zip,Province
-122.4,37.5,PV,0,94019.0,San Mateo
-122.172797,37.455314,PV,0,94025.0,San Mateo
-122.200408,37.480769,PV,0,94063.0,San Mateo
-122.231119,37.542619,PV,0,94065.0,San Mateo
-122.4289,37.61909,PV,0,94066.0,San Mateo
-122.0153,37.4194,PV,0,94088.0,Santa Clara
-122.0269892857143,37.40969057142858,PV,0,94089.0,Santa Clara
-122.383888,37.635833,PV,0,94102.0,San Mateo
-120.32488,37.120586,PV,0,94105.0,Madera
-122.394167,37.793333,PV,0,94109.0,San Francisco
-122.402778,37.795556,PV,0,94111.0,San Francisco
-122.451878,37.77656,PV,0,94117.0,San Francisco
-122.481758,37.750894,PV,0,94121.0,San Francisco
-122.391111,37.7366665,PV,0,94124.0,San Francisco
-122.4775,37.723889,PV,0,94132.0,San Francisco
-122.456747,37.762524,PV,0,94143.0,San Francisco
-122.1094,37.4383,PV,0,94303.0,Santa Clara
-122.148864,37.411011,PV,0,94304.0,Santa Clara
-122.16077,37.43434,PV,0,94305.0,Santa Clara
-122.292778,37.5425,PV,0,94403.0,San Mateo
-122.27797,37.568597,PV,0,94404.0,San Mateo
-122.2889,37.7886,PV,0,94501.0,Alameda
-122.214014,38.160858,PV,0,94503.0,Napa
-122.444028,38.570028,PV,0,94508.0,Napa
-121.77145966666667,38.016289,PV,0,94509.0,Contra Costa
-122.141211,38.08152966666666,PV,0,94510.0,Solano
-121.821821375,38.141186875,PV,0,94512.0,Solano
-121.755556,37.921944,PV,0,94513.0,Contra Costa
-121.62881733333332,37.813760333333335,PV,0,94514.0,Alameda
-122.2174945,38.057061000000004,PV,0,94525.0,Contra Costa
-121.77182,37.95169,PV,0,94531.0,Contra Costa
-122.06988633333333,38.239756,PV,0,94533.0,Solano
-122.0639578,38.2457264,PV,0,94534.0,Solano
-121.950524,37.48906375,PV,0,94538.0,Alameda
-122.059444,37.658889,PV,0,94542.0,Alameda
-122.09685,37.659879,PV,0,94544.0,Alameda
-122.1367635,37.634093,PV,0,94545.0,Alameda
-122.273663,38.022486,PV,0,94547.0,Contra Costa
-121.65368242857143,37.73575942857143,PV,0,94550.0,Alameda
-121.70124275,37.76771275,PV,0,94551.0,Alameda
-122.08855,38.017624999999995,PV,0,94553.0,Contra Costa
-122.27411699999999,38.246096,PV,0,94558.0,Napa
-121.7258335,38.001389,PV,0,94561.0,Contra Costa
-121.8834102,38.019872400000004,PV,0,94565.0,Contra Costa
-121.8794225,37.65316,PV,0,94566.0,Alameda
-121.886944,37.7191665,PV,0,94568.0,Alameda
-121.85,38.12,PV,0,94571.0,Solano
-122.24635,38.029878,PV,0,94572.0,Contra Costa
-122.15768750000001,37.7092425,PV,0,94577.0,Alameda
-121.8864445,38.226865000000004,PV,0,94585.0,Solano
-121.89419,37.69923,PV,0,94588.0,Alameda
-122.2379325,38.1370725,PV,0,94589.0,Solano
-122.29135366666667,37.81612766666667,PV,0,94607.0,Alameda
-122.284003,37.83286,PV,0,94608.0,Alameda
-122.26337,37.870331,PV,0,94720.0,Alameda
-122.37960100000001,37.956447999999995,PV,0,94801.0,Contra Costa
-122.390311,37.937011,PV,0,94802.0,Contra Costa
-122.344,37.92,PV,0,94804.0,Contra Costa
-122.566904,38.1416165,PV,0,94945.0,Marin
-122.565,38.160833,PV,0,94948.0,Marin
-122.74600000000001,38.291642499999995,PV,0,94952.0,Sonoma
-122.64271133333334,38.29349666666667,PV,0,94954.0,Sonoma
-121.9419,37.4567,PV,0,95002.0,Santa Clara
